"Borough","Total"
"Islington","48"
"Kensington and Chelsea","32"
"Haringey","26"
"Newham","6"
"Croydon","1"
"Hounslow","0"
"Barnet","0"
"Bexley","0"
"Brent","0"
"Bromley","0"
"Camden","0"
"Ealing","0"
"Enfield","0"
"Hackney","0"
"Hammersmith and Fulham","0"
"Harrow","0"
"Havering","0"
"Hillingdon","0"
"Greenwich","0"
"Kingston upon Thames","0"
"Lambeth","0"
"Lewisham","0"
"Merton","0"
"Redbridge","0"
"Richmond upon Thames","0"
"Southwark","0"
"Sutton","0"
"Tower Hamlets","0"
"Waltham Forest","0"
"Wandsworth","0"
"Westminster","0"